"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,100610,A000,World,1.08,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,100191,A000,World,2.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,090710,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,081190,A000,World,5.97272727272727,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,081060,A000,World,2.2,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,080510,A000,World,1.54,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,080261,A000,World,0.35,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,071022,A000,World,3.52833333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,070521,A000,World,0.04,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,040510,A000,World,11.72,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030792,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030634,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030571,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030482,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030479,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030431,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030325,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030259,A000,World,1.5,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030256,A000,World,1.5,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,030232,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,020713,A000,World,2.52,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,010620,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,010611,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,010420,A000,World,0.26,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,970610,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,970529,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,960850,A000,World,,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,960630,A000,World,3,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,950830,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,950823,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,950661,A000,World,0,WTO IDB
